"","time","enter","exit"
"1",2020-01-01 07:00:00,1,0
"2",2020-01-01 07:20:00,2,0
"3",2020-01-01 07:40:00,3,-1
"4",2020-01-01 08:00:00,5,0
"5",2020-01-01 08:20:00,3,0
"6",2020-01-01 08:40:00,4,-1
"7",2020-01-01 09:00:00,4,0
"8",2020-01-01 09:20:00,1,0
"9",2020-01-01 09:40:00,1,-1
"10",2020-01-01 10:20:00,0,-1
"11",2020-01-01 10:40:00,0,-1
"12",2020-01-01 11:20:00,1,-2
"13",2020-01-01 12:00:00,0,-4
"14",2020-01-01 12:20:00,2,-8
"15",2020-01-01 12:40:00,4,-5
"16",2020-01-01 13:00:00,5,-2
"17",2020-01-01 13:20:00,4,0
"18",2020-01-01 13:40:00,1,0
"19",2020-01-01 14:20:00,1,0
"20",2020-01-01 15:00:00,1,-1
"21",2020-01-01 15:40:00,1,0
"22",2020-01-01 16:00:00,0,-2
"23",2020-01-01 16:40:00,1,-3
"24",2020-01-01 17:00:00,0,-5
"25",2020-01-01 17:20:00,2,-6
"26",2020-01-01 17:40:00,1,-3
"27",2020-01-01 18:00:00,0,-1
"28",2020-01-01 18:40:00,0,-1
